티커,종목명,매도거래량,매수거래량,순매수거래량,매도거래대금,매수거래대금,순매수거래대금
036640,HRS,2114327,2114327,0,11598429760,11598429760,0
082740,HSD엔진,8757630,8757630,0,65003428680,65003428680,0
351340,IBKS제13호스팩,729580,729580,0,1453867265,1453867265,0
388790,IBKS제16호스팩,10903493,10903493,0,26444795360,26444795360,0
426550,IBKS제19호스팩,161439,161439,0,329941730,329941730,0
439730,IBKS제20호스팩,392052,392052,0,794516475,794516475,0
442770,IBKS제21호스팩,1186012,1186012,0,2385740290,2385740290,0
003560,IHQ,118882427,118882427,0,63610310979,63610310979,0
095340,ISC,2712920,2712920,0,89519899950,89519899950,0
175330,JB금융지주,15774714,15774714,0,130886047556,130886047556,0
950170,JTC,2578766,2578766,0,9589016385,9589016385,0
234080,JW생명과학,420250,420250,0,5198450650,5198450650,0
067290,JW신약,34047062,34047062,0,130324193420,130324193420,0
001060,JW중외제약,1930748,1930748,0,38260720150,38260720150,0
001067,JW중외제약2우B,822,822,0,53559300,53559300,0
001065,JW중외제약우,10131,10131,0,342372400,342372400,0
096760,JW홀딩스,858396,858396,0,2641374355,2641374355,0
035900,JYP Ent.,7322490,7322490,0,480051870900,480051870900,0
318000,KBG,1161319,1161319,0,7265171870,7265171870,0
024840,KBI메탈,7266809,7266809,0,10478992945,10478992945,0
105560,KB금융,24268298,24268298,0,1259911009773,1259911009773,0
432320,KB스타리츠,1255123,1255123,0,5633778630,5633778630,0
024120,KB오토시스,937782,937782,0,3747153515,3747153515,0
002380,KCC,562932,562932,0,128346167500,128346167500,0
021320,KCC건설,18782097,18782097,0,139216346820,139216346820,0
344820,KCC글라스,453280,453280,0,17480606450,17480606450,0
036670,KCI,349576,349576,0,3189341830,3189341830,0
009070,KCTC,3267451,3267451,0,15840773250,15840773250,0
009440,KC그린홀딩스,1949951,1949951,0,6105186835,6105186835,0
112190,KC산업,38067,38067,0,117226810,117226810,0
119650,KC코트렐,4157557,4157557,0,9147978565,9147978565,0
